GroupName	GroupID	GroupORFs
urea cycle	GO:0000050	YPL111W
citrulline metabolic process	GO:0000052	YOL058W
argininosuccinate metabolic process	GO:0000053	YOL058W
ribosomal subunit export from nucleus	GO:0000054	YGL099W YHR197W YPL093W YGL099W YDR091C YNL227C YHR197W YHR197W YGR285C YDL229W YNL209W YPR016C YGL097W YMR235C YOR206W YPL093W
ribosomal large subunit export from nucleus	GO:0000055	YLL034C YKL057C YER006W YIL115C YJL041W YPL169C YAL059W YMR047C YGL172W YNR053C YFR002W YPL146C YNR053C YGR218W YJL041W YJL061W YER006W YOR294W YGL172W YJL041W YKL186C YIL115C YNR053C YDR361C YPL169C YHR088W YJR042W YOR098C YHR170W YAL059W YKL186C YGR245C YDR267C YJL061W
ribosomal small subunit export from nucleus	GO:0000056	YIL063C YNL178W YJL061W YIL115C YJL061W YJL041W YER036C YKL143W YKL143W YPL239W YPL239W YJL010C YDL166C YCR047C
protein import into nucleus, translocation	GO:0000060	YAL005C
protein import into nucleus, substrate release	GO:0000061	YLR335W YLR335W
fatty-acyl-CoA binding	GO:0000062	YGR037C YGR037C
L-ornithine transmembrane transporter activity	GO:0000064	YOR130C
mitochondrial ornithine transport	GO:0000066	YOR130C
mitotic sister chromatid segregation	GO:0000070	YMR198W YFL037W YLR272C YKR054C YOR073W YDR113C YLR086W YAL047C YML124C YML085C YML034W YDR325W YOR073W YML124C YNL307C YMR190C YDR113C YLR226W YFL008W YFR031C YNL307C YIR025W YDR130C YML085C YLR272C YFL037W YGR098C YKL049C YEL061C YBL063W YBL097W YKL052C YGR098C YOR073W YOR073W
spindle pole body separation	GO:0000073	YEL061C YOR373W YOR058C YEL061C YEL061C YBL063W YBL063W
cell cycle checkpoint	GO:0000075	YJR068W YPL194W YML058W-A YPL194W YML058W-A YGR188C YJL013C YDL101C
DNA replication checkpoint	GO:0000076	YCL061C YNL273W YNL273W YCL061C YMR048W YAL021C YNL102W YER133W YCL061C YJL090C YER133W YCL061C YCL061C
DNA damage checkpoint	GO:0000077	YLR288C YER173W YPL194W YDR440W YBL051C YOR368W YML028W YDL101C YBR274W YBR136W YBL088C YPL153C YOR368W YDR283C YPL153C YDR217C YLR288C YER089C YER133W YER177W YDR099W YDR440W YDR499W YBR136W YBL051C YDR499W
cell shape checkpoint	GO:0000078	YMR273C YKL101W YJL187C YGL190C YML109W YJL187C YJL187C
regulation of cyclin-dependent protein kinase activity	GO:0000079	YDL155W YER089C YPR120C YGR108W YIL050W YLR079W YMR199W YAL040C YDL155W YGR108W YPR119W YIL050W YLR079W YJL187C YDL127W YBL056W YGR109C YMR036C YDL127W YNL025C YOL001W YGR109C YNL289W YGL134W YGL134W YJL006C YOL001W YPL256C YNL289W YMR036C YLR079W YLR210W YLR079W YGL215W YPR025C YLR210W YDL179W YPR119W YHR071W YER089C YBL056W YER059W YPL219W YPR120C
G1 phase of mitotic cell cycle	GO:0000080	YCL055W YCL055W YCR052W YJR066W YFL029C YDL127W YGR271C-A YNL289W YKL203C YDL225W YFL029C
G1/S transition of mitotic cell cycle	GO:0000082	YPR120C YLR033W YLR079W YDL188C YJL098W YJL098W YGR109C YPR120C YAL040C YJR090C YKR028W YJL098W YDR328C YFL009W YFR040W YDR054C YOL133W YFR037C YOR066W YGL229C YFR040W YIL135C YKR028W YFR040W YIL153W YDL132W YDL047W YOL133W YJR059W YGL229C YCR008W YKR028W YLR079W YDR328C YDR364C YER167W YDR303C YDR247W YDL134C YIL046W YDR002W YJL194W
regulation of transcription involved in G1/S phase of mitotic cell cycle	GO:0000083	YPL116W YNL309W YPL031C YDL179W YPL031C YPL031C YPL116W YAL040C YJR140C YAL040C YBR215W YNL330C YNL309W YNL330C
S phase of mitotic cell cycle	GO:0000084	YBR202W YOR119C YPR019W YBR202W YIL150C YPR019W YBL023C YLR103C YEL032W YLR274W YLR210W YPR019W YLR103C YGL201C YNL102W YDL155W YDL155W YIL150C YLR210W YLR274W YBR202W YDL102W
G2/M transition of mitotic cell cycle	GO:0000086	YMR036C YJL187C YPR119W YKL101W YDL139C YDL155W YJL187C YJL187C YIL126W YGR108W YDR303C YGR108W YPL020C YLR210W YKR008W YPR120C YLR321C YGL060W YMR036C YDL132W YPR120C YDR328C YCR052W YFL009W YGR108W YOL133W YLL003W YBR133C YPR119W YLR321C YDR054C YFL009W YFL029C YDR054C YBL051C YLR210W YFL009W YDL132W YMR036C YDL155W YDL064W YDR328C YFL029C YML127W YKL101W YBR133C
M phase of mitotic cell cycle	GO:0000087	YMR036C YKR048C YKR048C YIL046W
mitotic anaphase	GO:0000090	YGL075C
mitotic anaphase B	GO:0000092	YPL155C YBL063W YEL061C YCL029C YOR058C
S-adenosylmethionine transmembrane transporter activity	GO:0000095	YNL003C YPL274W YNL003C YPL274W YNL003C
sulfur amino acid metabolic process	GO:0000096	YKL001C YLL062C YPR167C YNL277W YJR010W YNL103W YAL012W
sulfur amino acid biosynthetic process	GO:0000097	YJR137C
S-methylmethionine transmembrane transporter activity	GO:0000100	YLL061W YLL061W
sulfur amino acid transport	GO:0000101	YGR055W
L-methionine secondary active transmembrane transporter activity	GO:0000102	YGR055W
sulfate assimilation	GO:0000103	YFR030W YJR010W YJR137C YKR069W YBR213W YOL064C YFR030W YKL001C YGR209C
succinate dehydrogenase activity	GO:0000104	YMR118C YJR051W YEL047C YKL141W
histidine biosynthetic process	GO:0000105	YIL020C YBR248C YOR202W YIL020C YBR248C YDL106C YCL030C YGR204W YOR202W YCL030C YER055C YOR202W YER055C YBR084W YCL030C YIL116W YOR202W YIL116W YCL030C YDL106C YFR025C YER055C YIL020C YFR025C YCL030C YER055C YIL116W YIL116W YIL020C YFR025C YFR025C YOR202W YIL020C YIL020C YBR248C YBR248C
imidazoleglycerol-phosphate synthase activity	GO:0000107	YBR248C YBR248C
nucleotide-excision repair factor 1 complex	GO:0000110	YPL022W YMR201C YML095C YMR201C
nucleotide-excision repair factor 2 complex	GO:0000111	YEL037C YOR257W YER162C
nucleotide-excision repair factor 3 complex	GO:0000112	YIL143C YPR056W YGR258C YDR311W YPL122C YER171W YLR005W
nucleotide-excision repair factor 4 complex	GO:0000113	YBR114W YKL112W YJR052W
regulation of transcription involved in G1 phase of mitotic cell cycle	GO:0000114	YOL145C YJR017C YKR077W YLR131C YBR279W YOR066W YDR146C YLR131C YOR066W YIL046W
regulation of transcription involved in S phase of mitotic cell cycle	GO:0000115	YNL330C
regulation of transcription involved in G2/M-phase of mitotic cell cycle	GO:0000117	YOL004W YJR017C YNL330C
histone deacetylase complex	GO:0000118	YPR068C YDR155C YMR075W YOR279C YNL097C YMR263W YNL330C
glycerol-1-phosphatase activity	GO:0000121	YER062C YIL053W
negative regulation of transcription from RNA polymerase II promoter	GO:0000122	YNL206C YNL021W YPR065W YKL005C YNL167C YNL167C YOR178C YLR055C YER159C YPR065W YPR065W YCR093W YPR065W YJR017C YBR279W YNL025C YBR095C YPR065W YNL167C YKL032C YKR064W YDL020C YJR017C YMR070W YNL167C YER169W YMR070W YDL020C YKR064W YER161C YNL167C YLR055C YCR081W YDR308C YDR397C YPL031C YDR451C YDR043C YNL216W YBR193C YOL051W YGL244W YPL042C YKL005C YMR043W YDR397C YBL093C YDL165W YPR179C YKL038W YJR060W YNR010W YKL038W YHL027W YDR224C YGR122W YDR173C YDR259C YDR464W YMR043W YBR050C YNL076W YOL001W YOL004W YKL057C YHL020C YLR176C YGR122W YAL013W YMR070W YPR065W YEL009C YGR270W YML051W YPR168W YLR451W YJL127C YNL330C YPR065W YNL021W YOL135C YGR044C YPR070W YGL025C YNL167C YGR116W YNL239W YNL330C YNL076W YLR071C YLR176C YPR168W YPL042C YJL110C YDR259C YDR443C YIR018W YNL330C YNL330C YMR112C YOL004W YML113W YNL236W YDR096W YER159C YKR082W YKR034W YDR028C YCL058W-A YDR225W YLR176C YKL112W YKR034W YKR034W YDL005C YDR295C YNL330C
histone acetyltransferase complex	GO:0000123	YFL039C YLL022C YLL022C YPL001W YNL136W YEL056W YLL022C YEL056W YPR023C YPL001W YPL001W YLL022C YHR099W YEL056W YEL056W YDR359C YGR002C YPL001W YPL001W
SAGA complex	GO:0000124	YBR081C YPL254W YGL066W YBR198C YLR055C YDR448W YMR223W YHR099W YBR081C YDR145W YDR448W YGR252W YDR167W YOL148C YDR176W YER164W YMR236W YGL066W YGL112C YDR392W YBR111W-A YPL047W YDR392W YGL066W YOL148C YMR223W YCL010C YGR252W
transcription factor TFIIIB complex	GO:0000126	YGR246C YNL039W YER148W YNL039W YGR246C YER148W
transcription factor TFIIIC complex	GO:0000127	YDR362C YAL001C YGR047C YPL007C YOR110W YPL007C YOR110W YGR047C YAL001C YBR123C YGR047C YDR362C YOR110W YBR123C YBR123C YAL001C YAL001C YBR123C YPL007C YGR047C
flocculation	GO:0000128	YHR211W YKR102W YAL063C YHR213W YAR050W YAL063C YHR211W YIR019C YAR050W YAR062W
incipient cellular bud site	GO:0000131	YER155C YNL243W YPR055W YIL129C YBR023C YAR014C YNL233W YHR102W YNL293W YMR192W YNL289W YLR425W YOR326W YHL007C YNL304W YLR190W YHR149C YBR109C YLR353W YLR229C YHR023W YGR189C YLR319C YNL233W YLR313C YNL161W YLL021W YKL189W YLR313C YBL061C YPR165W YCL024W YAL041W YLR319C YHR061C YBR200W YGR229C YKR100C YER144C YER008C YKR055W YCR038C YMR273C YGL233W YDR309C YDR166C YPL115C YLR337C YLR229C YPL249C YBR079C YLR371W YOR353C YDL127W YBR023C YBR102C YER008C YKR090W YKL079W YNL271C YOL112W YFL005W YJL085W YDL179W
establishment of mitotic spindle orientation	GO:0000132	YMR198W YNL116W YHR129C YGL216W YGL216W YHR115C YOR326W YPL174C YFL039C YKR054C YNL271C YNL116W YHR115C YOR326W YMR294W YGL216W YKR054C YLL049W
polarisome	GO:0000133	YNL271C YOL112W YLR319C YNL293W YER149C YLL021W
septin checkpoint	GO:0000135	YCL024W YKL048C YDR507C YKL101W YKL101W YDR507C YCL024W
alpha-1,6-mannosyltransferase complex	GO:0000136	YJL183W YML115C YPL050C YEL036C YDR245W YJR075W YJR075W YJR075W YML115C
Golgi cis cisterna	GO:0000137	YGL038C YJR031C YGL038C YEL022W YEL036C
Golgi trans cisterna	GO:0000138	YAR042W
Golgi membrane	GO:0000139	YLR268W YPL145C YPR159W YJR066W YJL004C YCR068W YDR137W YLR043C YOR171C YML067C YGL020C YHL031C YBR183W YCR067C YNL041C YMR071C YER113C YEL042W YIL076W YNL044W YGL137W YDR503C YLR309C YMR079W YDR483W YIL041W YML038C YOR069W YPL010W YOR079C YHL031C YML012W YOL107W YDL145C YPL218W YPR029C YGR120C YPL050C YKR061W YFL048C YNL051W YJL139C YLR260W YDR238C YHR098C YER157W YFL038C YIL004C YKL174C YLR220W YPR028W YGL210W YDR084C YLR080W YKL034W YGR172C YBR015C YNL287W YMR292W YJR040W YKL179C YNL049C YKL179C YDR100W YDR189W YDL058W YFR051C YIL048W YDR141C YOR099W YGL223C YKL039W YBR097W YGL200C YML115C YER001W YDR264C YGL167C YER083C YFL038C YCL001W YOR357C YKR088C YLR039C YLR026C YIL048W YMR079W YGL005C YLR039C YDR367W YKL165C YML071C YEL042W YMR197C YER039C YBL102W YGL095C YDL058W YMR292W YOR079C YGL225W YPR181C YER074W-A YEL036C YPL087W YOR311C YER005W YPL246C YER031C YNL263C YDL058W YGL198W YGL257C YKL006C-A YGL167C YGL054C YNL006W YAL042W YIL109C YOR320C YMR054W YGR209C YAR042W YLR080W YIL014W YKL006C-A YBL102W YDR373W YJL178C YNL297C YLR242C YGL038C YPR105C YNL024C-A YLR078C YKR030W
acylglycerone-phosphate reductase activity	GO:0000140	YIL124W YIL124W
cellular bud neck contractile ring	GO:0000142	YCL014W YPL242C YHR023W YMR032W YHR023W YJR092W YMR032W YIL138C YJR090C YJR090C YKL048C YDL117W YNL152W YFL039C YPR188C YFL039C YNL079C
cellular bud neck septin ring	GO:0000144	YJR076C YHR107C YNL166C YDL225W YEL040W YMR032W YBL061C YCR002C YLR314C YNL166C
exocyst	GO:0000145	YJL085W YPR055W YER008C YBR102C YIL068C YPR055W YGL233W YPR055W YPR055W YJL085W YLR166C YGL233W YIL068C YGL233W YGL233W YDR166C
microfilament motor activity	GO:0000146	YKL129C YHR023W YMR109W YAL029C YOR326W
actin cortical patch assembly	GO:0000147	YJR125C YNL084C YNL020C YDL161W YIL062C YCR030C YIL095W YLR206W YCR088W YKL013C YIR006C YBL007C YBR108W YLL038C YCR088W
1,3-beta-D-glucan synthase complex	GO:0000148	YGR032W YLR342W YMR306W YGR032W YLR342W YPR165W
SNARE binding	GO:0000149	YDR164C YIL068C YIL068C YGL095C YGR142W YIL068C YJL204C YIL068C YFL038C YJL204C YJL204C YGR142W YDR189W YPR032W YER143W YFL038C
recombinase activity	GO:0000150	YML032C YDR296W YER095W YDR296W
ubiquitin ligase complex	GO:0000151	YML111W YER125W YOR057W YLL036C YMR275C YDL013W YMR275C YER116C YDL190C
rRNA modification	GO:0000154	YLR165C YOR201C YPR137W YLR197W YMR228W YPL266W YER127W YPL266W
two-component sensor activity	GO:0000155	YIL147C
two-component response regulator activity	GO:0000156	YLR006C YIL147C YHR206W YFL033C YLR006C YLR006C YHR206W YHR206W
protein phosphatase type 2A complex	GO:0000159	YAL016W YDL134C YOR014W YGL190C YPL152W
two-component signal transduction system (phosphorelay)	GO:0000160	YDL235C YHR206W YFL033C YDL235C YHR206W YLR006C YIL147C YIL147C YLR006C
MAPK cascade involved in osmosensory signaling pathway	GO:0000161	YDR168W YDR168W YNR031C YCL032W YLR362W YCR073C YLR362W YCL032W YCR073C
tryptophan biosynthetic process	GO:0000162	YDR354W YDR007W YER090W YDR007W YDR354W YER090W YGL026C YER090W YDR007W YGL026C YKL211C YDR007W YDR007W YGL026C YKL211C YER090W YKL211C YDR354W YGL026C YDR354W
protein phosphatase type 1 complex	GO:0000164	YLR273C YOR178C YER054C YKL193C YBR045C YBR050C YER133W YDR028C
MAPK cascade	GO:0000165	YLR113W YGR040W YPR054W YBL016W YGR040W YHR030C YLR113W YBL016W YHR030C
